1.26	65.78	37.54
1.68	65.91	19.49
1.76	82.13	25.45
1.39	81.23	33.54
1.3	99.42	45.26
1.54	62.1	21.58
1.39	67.53	29.35
1.31	58.89	29.25
1.68	97.1	30.04
1.9	39.16	10.52
1.54	59.73	22.54
1.21	78.2	44.15
1.62	73.29	23.38
1.67	38.07	13.15
1.46	79.19	35.99
1.81	58.89	15.74
1.77	86.47	26.39
1.35	81.18	36.46
1.75	74.28	23.2
1.76	74.01	22.61
1.44	78.83	36.58
1.55	73.41	29.37
1.86	93.71	26.25
1.58	69.79	23.16
1.2	83.39	49.18
1.56	52.82	18.13
1.4	39.58	19.91
1.65	51.13	19.46
1.78	56.64	15.63
1.93	62.54	16.21
1.85	82.15	21.96
1.32	41.22	19.87
1.89	80.14	21.0
1.32	98.14	43.27
1.68	90.38	27.49
1.76	58.91	18.36
1.28	88.07	47.42
1.44	50.93	19.44
1.45	97.67	37.46
1.61	60.24	19.89
1.21	71.04	39.68
1.81	96.36	28.49
1.85	92.8	24.22
1.41	55.75	22.49
1.39	88.69	38.72
1.33	58.1	30.61
1.77	91.04	28.64
1.76	56.55	15.02
1.78	38.34	11.43
1.16	45.4	27.73
