1.83	56.63	15.38
1.32	85.09	43.08
1.3	48.97	28.61
1.29	42.69	20.26
1.58	81.29	30.99
1.72	56.91	17.23
1.72	44.36	14.05
1.71	41.65	13.41
1.7	83.45	25.48
1.51	65.43	28.22
1.67	48.64	14.44
1.63	61.67	22.21
1.73	85.88	27.0
1.46	78.82	32.96
1.69	39.35	12.71
1.73	74.39	21.45
1.27	96.24	51.42
1.17	58.03	32.98
1.52	53.63	22.77
1.42	94.65	37.57
1.4	72.15	29.36
1.76	72.88	20.15
1.67	94.72	29.69
1.37	94.58	40.86
1.57	48.95	19.8
1.6	47.13	16.77
1.32	92.79	51.69
1.6	46.99	17.67
1.44	65.61	29.82
1.17	95.28	50.76
1.38	40.62	20.31
1.37	56.93	23.69
1.78	58.2	17.59
1.65	52.57	17.57
1.29	37.61	22.88
1.41	62.67	29.29
1.79	80.44	25.04
1.87	70.35	19.1
1.9	61.61	16.58
1.4	44.42	22.08
1.56	56.67	20.08
1.29	54.58	30.17
1.53	85.32	32.71
1.74	90.49	25.52
1.42	47.94	21.98
1.5	72.33	31.42
1.8	47.45	13.12
1.49	85.19	33.3
1.13	56.13	33.16
1.81	50.67	16.04
